,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2023-02-17,189,90,64,88,108,578,1323,1922,1602,1293,1146,1284,1449,1629,1824,1824,2004,1769,1382,1030,695,617,713,424
2023-02-18,259,186,125,94,73,239,342,443,613,878,1006,1117,1721,1861,1322,1320,1325,1236,1148,901,696,503,670,519
2023-02-19,320,197,168,86,95,125,116,123,202,366,585,778,866,960,995,930,1016,1039,994,718,573,420,394,198
2023-02-20,106,62,41,66,108,555,1314,1822,1594,1260,1079,1097,1143,1287,1429,1573,1756,1683,1329,878,663,443,368,230
2023-02-21,132,77,60,84,97,592,1329,1859,1642,1248,1178,1211,1231,1445,1370,1501,1669,1704,1340,888,647,567,584,265
2023-02-22,129,67,71,74,106,604,1387,1963,1825,1314,1202,1157,1246,1383,1399,1652,1867,1815,1455,991,662,529,535,253
2023-02-23,116,66,64,75,107,603,1406,1962,1830,1323,1281,1141,1188,1314,1412,1649,2109,1931,1521,981,680,536,457,283
2023-02-24,135,78,55,76,120,558,1273,1700,1476,1161,1173,1226,1369,1507,1632,1708,1714,1539,1438,1063,790,663,861,474
2023-02-25,308,151,95,81,84,220,308,431,511,875,1233,2095,1614,1498,2041,2034,1611,1734,1536,1025,760,563,500,478
2023-02-26,314,225,154,118,100,165,168,139,210,433,668,772,984,1087,1073,971,942,952,867,839,599,444,447,177
2023-02-27,90,51,43,69,106,604,1395,2292,1850,1207,1059,1095,1195,1388,1457,1749,1844,1832,1458,954,629,480,393,201
2023-02-28,115,69,53,80,102,618,1419,2343,1970,1363,1132,1072,1305,1459,1465,1813,1909,2344,1779,1032,731,611,414,249
2023-03-01,88,67,58,80,120,588,1448,2219,2124,1426,1098,1165,1280,1511,1648,1735,1897,2512,1487,1061,688,616,450,230
2023-03-02,127,57,56,76,98,625,1445,2167,1929,1284,1193,1171,1240,1471,1606,1815,2067,2079,1658,1068,820,722,548,337
2023-03-03,129,80,67,89,112,583,1356,2045,1715,1318,1174,1162,1518,1744,1779,1868,1769,1787,1507,1143,851,669,796,501
2023-03-04,310,176,110,88,84,220,312,436,654,901,1132,1272,1661,2501,2389,1486,1272,1335,1185,962,776,601,706,487
2023-03-05,278,211,142,99,92,149,151,115,244,416,662,828,917,1139,1112,971,907,1009,971,740,521,490,325,196
2023-03-06,124,65,53,82,103,591,1496,2143,1803,1364,1202,1107,1228,1418,1389,1716,1910,1754,1471,963,622,762,509,248
2023-03-07,89,64,35,80,106,576,1482,2277,2050,1373,1170,1142,1312,1381,1466,1678,2021,1904,1546,1047,716,565,499,241
2023-03-08,88,71,38,80,87,588,1462,2206,2013,1428,1266,1177,1242,1534,1502,1753,2049,2174,1555,1024,683,580,470,302
2023-03-09,144,71,44,77,102,627,1458,2172,1892,1416,1208,1474,1331,1551,1535,1953,1997,1794,1677,1132,765,598,462,349
2023-03-10,146,70,69,84,127,546,1322,2026,1642,1254,1118,1208,1435,1626,1885,1885,1787,1844,1416,1013,807,659,624,470
2023-03-11,276,181,113,94,90,203,315,500,694,887,1260,1448,1377,1437,1519,1511,1325,1409,1217,1048,772,594,808,542
2023-03-12,331,226,146,105,87,135,128,98,233,402,563,749,864,964,1138,1030,1028,1068,921,757,667,514,363,212
2023-03-13,100,60,46,75,111,608,1430,2124,1853,1364,1198,1138,1357,1424,1471,1730,1954,1891,1541,1015,566,572,618,240
2023-03-14,141,74,41,77,110,600,1476,2086,1859,1453,1158,1218,1307,1507,1526,1781,2092,1935,1572,972,706,757,720,250
2023-03-15,100,67,48,87,110,590,1459,2169,1855,1307,1211,1208,1374,1523,1532,1838,2106,2009,1606,1003,761,801,465,281
2023-03-16,138,67,58,76,105,615,1403,2192,1992,1404,1238,1161,1423,1639,1720,1998,2011,2232,1694,1089,739,592,509,257
2023-03-17,137,69,69,92,114,571,1346,1955,1719,1335,1128,1307,1534,1712,1821,1997,2013,1669,1529,1153,870,662,625,451
2023-03-18,308,202,122,62,92,214,393,448,660,954,1222,1372,1576,1633,1608,1429,1293,1370,1276,1097,838,639,618,489
2023-03-19,373,242,177,142,94,148,135,147,224,502,673,871,1068,1204,1212,1062,959,1113,917,752,558,504,571,392
2023-03-20,126,71,48,74,112,626,1516,2223,1895,1335,1221,1151,1280,1447,1489,1768,1802,1870,1485,1034,626,531,499,302
2023-03-21,110,62,49,75,98,639,1527,2255,2035,1375,1193,1135,1344,1541,1447,1727,2119,2010,1671,1051,736,666,428,279
2023-03-22,124,78,40,80,102,603,1546,2181,2001,1365,1229,1188,1332,1544,1569,1833,2098,2006,1832,1218,860,752,522,290
2023-03-23,155,77,65,96,153,645,1512,2174,2009,1247,1176,1148,1260,1526,1450,1783,2087,2059,1639,1015,802,828,516,288
2023-03-24,155,73,59,80,113,643,1426,2031,1769,1287,1205,1372,1510,1637,1897,1945,1798,1751,1502,1073,808,656,840,550
2023-03-25,287,186,103,73,87,208,348,484,689,951,1167,1264,1369,1423,1456,1399,1442,1398,1332,974,776,576,491,530
2023-03-26,490,245,0,183,160,176,134,173,218,392,514,745,957,1127,1167,1017,1014,1102,1015,823,697,546,438,279
2023-03-27,123,76,54,86,112,658,1605,2268,1935,1424,1185,1114,1323,1503,1539,1771,1999,2090,1486,1132,667,605,451,259
2023-03-28,121,72,50,86,114,580,1447,2275,2052,1458,1212,1169,1376,1555,1481,1800,2071,2016,1697,1130,747,658,462,317
2023-03-29,113,65,50,97,116,596,1476,2237,1982,1377,1217,1267,1298,1613,1566,1653,2151,2210,1611,1113,715,706,482,318
2023-03-30,152,96,69,84,115,609,1452,2130,2190,1763,1263,1220,1400,1489,1582,1848,2146,2115,1849,1170,803,670,535,318
2023-03-31,138,78,68,98,108,545,1340,1932,1831,1354,1244,1262,1610,1976,1903,2412,2504,2315,1760,1142,807,738,622,511
2023-04-01,307,221,157,98,106,216,405,572,683,890,1494,1486,1318,1714,1591,1452,1435,1302,1273,966,696,616,647,521
2023-04-02,413,260,204,162,127,185,176,174,316,439,630,710,1003,1318,1106,1324,983,1047,890,1015,614,538,420,253
2023-04-03,138,101,58,73,127,593,1370,2068,1855,1360,1207,1230,1320,1445,1488,1702,1945,1923,1506,1072,650,598,437,238
2023-04-04,117,63,63,76,98,604,1450,2062,1960,1372,1338,1294,1447,1675,1573,1721,2000,1956,1715,1190,755,644,427,348
2023-04-05,146,84,54,77,86,565,1454,2017,1894,1371,1323,1329,1346,1474,1554,1747,2002,2066,1558,1134,796,653,530,294
2023-04-06,140,97,65,72,112,564,1334,1806,1616,1328,1348,1342,1483,1603,1507,1949,2227,2100,1937,1282,819,712,1152,462
2023-04-07,256,153,101,66,47,116,173,158,244,433,713,1329,994,1107,1077,1041,814,806,755,673,530,498,389,304
2023-04-08,239,153,99,78,71,178,225,332,431,740,1033,1228,1303,1251,1277,1218,1343,1220,1162,943,629,509,425,374
2023-04-09,263,214,158,109,70,121,118,113,190,408,500,957,1107,936,958,876,778,924,978,794,627,578,397,295
2023-04-10,234,140,101,82,63,133,123,114,205,431,690,942,1126,1113,1229,1156,1194,1115,1137,1160,726,749,396,238
2023-04-11,126,73,50,72,118,551,1309,1929,1745,1259,1131,1228,1278,1381,1508,1629,1924,1947,1515,1011,673,545,397,266
2023-04-12,102,69,60,73,100,558,1264,1890,1758,1264,1076,1124,1239,1350,1427,1728,2025,1979,1460,1058,710,585,463,305
2023-04-13,150,81,51,84,127,577,1366,1863,1749,1325,1171,1171,1282,1347,1429,1894,2068,2078,1663,1011,759,630,544,357
2023-04-14,134,101,60,84,110,534,1258,1620,1547,1264,1188,1223,1347,1842,2017,2152,1889,1728,1554,1159,878,665,589,487
2023-04-15,338,194,113,86,90,199,318,436,627,921,1071,1122,1271,1298,1330,1329,1259,1355,1316,1063,747,600,571,428
2023-04-16,360,270,179,116,88,140,151,122,201,360,541,633,928,941,979,1346,1465,1337,1526,1006,621,503,384,238
2023-04-17,125,73,51,77,116,563,1530,2230,1922,1549,1216,1153,1260,1430,1528,1722,2217,2144,1538,1044,690,566,458,257
2023-04-18,130,74,41,85,118,599,1505,2350,2100,1495,1253,1159,1275,1451,1460,1695,1859,2144,1647,1060,754,622,517,260
2023-04-19,126,70,48,80,127,583,1543,2265,2194,1464,1248,1150,1260,1548,1566,1920,2004,2260,1611,1120,810,619,561,315
2023-04-20,128,88,60,82,125,583,1516,2247,2030,1366,1227,1171,1311,1496,1641,1938,2389,2201,1800,1182,843,662,607,424
2023-04-21,163,89,66,85,131,564,1447,2195,1903,1377,1283,1370,1607,1701,1957,2703,2155,1909,1780,1278,966,767,703,530
2023-04-22,333,197,129,102,100,242,365,511,739,1012,1190,1375,1518,1580,1606,1491,1441,1433,1364,1111,853,647,630,540
2023-04-23,399,263,177,129,101,154,157,167,281,525,761,945,1116,1190,1215,1135,1120,1151,1100,892,737,604,509,325
2023-04-24,138,77,61,81,149,655,1547,2120,1909,1493,1310,1323,1440,1597,1637,1860,2055,2049,1613,1101,751,616,471,276
2023-04-25,138,68,63,83,140,650,1561,2103,1974,1524,1383,1370,1469,1656,1685,1914,2152,2093,1722,1171,822,654,526,314
2023-04-26,165,99,90,114,176,716,1677,2143,1948,1577,1401,1444,1600,1734,1755,2000,2137,2155,1738,1219,888,747,588,332
2023-04-27,157,79,73,79,143,655,1591,2125,1969,1519,1392,1395,1527,1689,1764,2037,2224,2148,1787,1224,881,724,598,352
2023-04-28,171,95,82,96,151,654,1449,2007,1822,1448,1355,1525,1689,1974,2011,2105,2045,1922,1682,1285,947,762,704,523
2023-04-29,395,244,156,124,119,280,414,517,718,990,1291,1497,1563,1640,1626,1547,1525,1463,1422,1210,1028,793,765,658
2023-04-30,413,269,183,133,105,162,162,175,286,544,790,977,1153,1234,1257,1177,1161,1187,1135,927,769,625,525,342
2023-05-01,336,225,156,104,79,156,133,169,281,490,704,991,1106,1215,1322,1196,1215,1287,1329,938,810,601,450,259
2023-05-02,111,63,50,73,128,611,1581,2377,2070,1417,1257,1337,1489,1630,1995,1935,2422,2262,1754,1163,790,594,484,234
2023-05-03,127,60,54,73,100,631,1550,2298,2017,1505,1441,1562,1425,1733,1890,2041,2330,2217,1811,1119,849,924,562,291
2023-05-04,128,73,62,78,109,623,1540,2241,2100,1492,1296,1326,1374,1642,1736,2208,2383,2416,1855,1185,867,732,622,434
2023-05-05,152,101,74,93,116,547,1390,2093,1764,1379,1326,1362,1554,1822,1962,2188,1987,1947,1859,1144,910,789,820,573
2023-05-06,343,193,131,94,110,238,381,549,738,1030,1231,1270,1391,1463,1997,1502,1396,1510,1546,1114,966,690,667,551
2023-05-07,428,265,179,126,98,158,131,149,369,639,783,904,1171,1432,1350,1431,1442,1516,1417,859,602,488,383,263
2023-05-08,109,60,58,76,120,609,1563,2220,1970,1444,1226,1283,1335,1434,1498,1905,2261,2128,1713,1022,751,626,488,289
2023-05-09,133,80,60,80,117,605,1618,2338,2182,1458,1240,1237,1394,1549,1555,1918,2263,2247,1960,1155,809,607,437,278
2023-05-10,119,81,54,71,127,563,1642,2278,2185,1539,1255,1249,1433,1574,1642,1933,2255,2214,1580,1156,843,740,543,338
2023-05-11,149,81,61,80,135,600,1635,2265,2169,1401,1281,1253,1336,1647,1654,2104,2243,2084,1682,1159,837,670,569,346
2023-05-12,155,82,68,88,132,596,1474,2070,1802,1360,1241,1333,1526,1879,1823,1976,2071,1898,1542,1156,888,700,643,564
2023-05-13,334,211,119,91,98,249,418,525,803,1000,1118,1263,1419,1448,1535,1441,1509,1532,1374,1165,880,715,623,561
2023-05-14,417,239,175,123,95,154,155,163,323,615,800,1024,1186,1235,1230,1242,1445,1385,1232,1052,899,708,532,249
2023-05-15,122,79,41,82,107,651,1644,2310,1988,1470,1300,1290,1308,1516,1564,1861,2171,2195,1784,1096,761,615,486,221
2023-05-16,106,62,50,82,89,663,1595,2403,2197,1497,1274,1269,1381,1551,1574,1893,2096,2155,1692,1060,834,657,516,550
2023-05-17,163,70,55,75,113,598,1486,2234,1987,1472,1310,1336,1452,1667,1662,2234,2102,2428,2091,1409,969,760,620,474
2023-05-18,251,165,109,84,82,170,198,199,379,1070,1403,1393,1291,1188,1202,1106,999,1067,970,817,699,542,470,295
2023-05-19,200,95,65,92,93,415,948,1339,1199,1226,1331,1436,1481,1622,1650,1732,1604,1582,1390,1055,749,638,515,386
2023-05-20,268,180,101,94,81,190,370,435,592,943,1122,1275,1377,1401,1428,1292,1194,1200,1232,961,823,668,700,499
2023-05-21,362,275,192,136,104,143,137,197,278,571,829,1198,1063,1179,1330,1536,1183,1386,1085,941,773,576,437,266
2023-05-22,163,65,65,80,139,636,1556,2207,1836,1444,1264,1278,1393,1548,1593,1676,2051,2225,1575,973,695,558,433,233
2023-05-23,109,60,58,85,122,621,1624,2302,2144,1313,1216,1205,1292,1227,1437,1811,2233,2288,1667,1054,794,611,459,286
2023-05-24,133,60,60,77,130,573,1571,2235,2052,1396,1138,1201,1244,1284,1354,1630,2256,2342,1594,1092,792,652,474,284
2023-05-25,134,58,54,72,131,616,1581,2152,1956,1444,1256,1219,1290,1488,1479,1860,2345,2361,1668,1182,831,632,570,336
2023-05-26,198,100,64,97,144,562,1400,1946,1810,1366,1333,1379,1544,1864,1950,2681,2085,2057,1670,1195,889,725,643,533
2023-05-27,351,232,137,99,107,267,410,528,648,899,1110,1299,1499,1456,1449,1369,1259,1172,1185,990,766,677,780,609
2023-05-28,404,266,173,123,84,160,149,120,261,530,745,980,1044,1110,1239,1120,981,958,928,809,657,627,601,605
2023-05-29,314,212,92,78,80,125,172,141,228,501,749,922,1068,1029,1073,985,1023,1050,978,831,758,617,439,259
2023-05-30,164,72,51,74,139,557,1532,2048,1782,1404,1278,1238,1352,1335,1400,1723,1949,1894,1477,1048,709,536,439,296
2023-05-31,133,87,58,85,144,573,1471,1983,1740,1290,1213,1180,1207,1379,1496,1717,2300,2224,1498,956,769,625,455,299
2023-06-01,146,93,53,99,110,581,1454,1865,1826,1246,1234,1129,1281,1354,1425,1675,2048,1890,1507,986,862,711,496,346
2023-06-02,143,95,70,89,105,576,1397,1791,1506,1228,1154,1195,1216,1456,1672,1650,1782,1660,1366,1055,828,709,629,460
2023-06-03,330,193,121,87,89,257,426,519,664,857,1014,1150,1512,1803,1412,1210,1229,1231,1302,1082,1018,736,596,485
2023-06-04,378,222,177,134,74,151,125,142,243,458,711,813,896,921,995,919,844,1008,1042,878,689,631,434,287
2023-06-05,153,63,55,87,123,619,1447,1930,1698,1269,1156,1098,1165,1325,1334,1629,1876,1746,1288,1001,678,569,474,255
2023-06-06,153,92,48,91,112,608,1478,2048,1884,1418,1370,1306,1295,1324,1732,1731,2045,1947,1491,1036,740,624,490,454
2023-06-07,244,79,51,100,118,614,1503,1862,1754,1364,1274,1227,1280,1490,1489,1916,1973,1968,1537,1104,941,668,504,551
2023-06-08,385,175,110,75,74,166,187,175,284,518,737,833,896,938,955,857,755,860,906,736,676,532,433,300
2023-06-09,212,115,65,99,108,422,897,1332,1205,1200,1279,1347,1446,1597,1555,1505,1495,1412,1262,1051,772,619,551,612
2023-06-10,416,220,150,103,107,254,368,450,598,901,1056,1222,1263,1236,1301,1228,1890,1344,1169,968,794,591,607,640
2023-06-11,582,272,173,145,149,157,144,164,258,524,691,828,1337,1134,1195,974,1263,1231,1054,860,724,619,456,494
2023-06-12,246,96,63,106,133,627,1538,2089,2015,1435,1229,1146,1248,1475,1475,1700,2019,1972,1490,967,716,615,447,286
2023-06-13,136,69,59,91,121,658,1617,2241,2119,1452,1285,1236,1338,1545,1600,1889,2274,2251,1622,1039,770,737,599,351
2023-06-14,176,85,60,82,126,626,1599,2172,2116,1460,1299,1224,1392,1921,1717,1918,2213,2181,1600,1096,767,703,490,313
2023-06-15,159,82,53,102,114,627,1618,2191,2077,1466,1271,1272,1330,1493,1847,2043,2281,2120,1643,1069,871,628,706,395
2023-06-16,185,107,58,103,128,626,1444,1950,1602,1317,1236,1223,1533,1674,1768,2029,1992,1869,1527,1173,897,862,634,537
2023-06-17,354,246,153,154,120,242,394,576,729,973,1167,1239,1304,1470,1676,1495,1395,1352,1255,988,895,1068,602,504
2023-06-18,392,284,209,141,98,183,158,151,336,579,726,840,972,980,974,968,974,1013,1109,1027,1154,1127,1335,764
2023-06-19,190,101,41,101,142,647,1628,2188,1967,1400,1155,1307,1217,1545,1449,1743,2102,1992,1394,984,756,576,450,300
2023-06-20,136,74,51,92,145,683,1616,2295,2189,1485,1247,1180,1401,1496,1540,1906,2188,2028,1515,1088,804,619,490,287
2023-06-21,141,71,59,89,143,665,1591,2254,2087,1443,1234,1240,1330,1610,1603,2033,2175,2055,1534,1114,817,836,646,383
2023-06-22,160,94,78,94,135,656,1656,2238,2056,1599,1650,1465,1451,1653,1666,2323,2140,2081,2001,1064,808,658,610,327
2023-06-23,184,95,71,87,123,632,1472,2086,1860,1409,1309,1435,1642,2252,2165,2350,2311,2019,1750,1329,1004,797,729,550
2023-06-24,311,190,122,90,89,228,329,482,680,962,1135,1283,1421,1498,1517,1413,1359,1358,1294,1057,810,605,597,508
2023-06-25,421,281,191,138,108,169,165,179,300,552,818,1009,1196,1281,1303,1215,1204,1239,1184,957,796,645,548,347
2023-06-26,134,78,63,77,142,638,1527,2070,1859,1474,1299,1297,1412,1573,1610,1810,2049,2061,1615,1099,759,613,464,269
2023-06-27,131,61,57,69,139,607,1485,1951,1833,1415,1286,1264,1372,1492,1585,1803,2056,2007,1665,1133,800,625,505,296
2023-06-28,136,77,61,86,134,596,1431,1950,1788,1413,1257,1305,1428,1607,1638,1824,2005,1997,1590,1123,821,685,545,296
2023-06-29,149,76,63,75,130,618,1484,1974,1882,1423,1297,1316,1417,1603,1631,1918,2085,2021,1684,1153,829,677,564,321
2023-06-30,160,96,63,78,148,587,1326,1815,1653,1327,1263,1364,1577,1787,1851,1907,1875,1787,1556,1184,896,704,658,484
2023-07-01,280,196,127,110,81,224,303,414,541,724,989,1158,998,1007,1010,1011,938,1008,920,794,627,568,526,540
2023-07-02,397,270,175,109,91,140,139,139,260,470,604,719,831,880,900,894,894,879,912,685,620,656,513,294
2023-07-03,147,76,51,81,106,431,899,1177,903,724,809,802,928,1041,1003,1096,1174,1263,980,745,527,445,377,214
2023-07-04,129,59,61,93,95,464,938,1226,1130,963,872,860,829,901,930,1098,1233,1194,1047,748,610,486,417,229
2023-07-05,105,50,49,77,97,451,857,1163,1145,857,764,788,844,853,1385,2036,2607,2205,1808,1069,842,741,606,379
2023-07-06,188,104,65,86,127,608,1604,2256,2078,1477,1344,1315,1491,1592,1627,1989,2302,2118,1724,1088,836,758,565,371
2023-07-07,201,119,68,94,140,572,1438,1907,1876,1454,1320,1322,1638,1811,1884,2150,2000,1874,1636,1111,832,793,704,556
2023-07-08,377,228,145,108,97,211,382,540,726,1007,1194,1253,1431,1425,1412,1319,1407,1374,1416,1357,1204,885,665,606
2023-07-09,439,295,180,133,107,170,134,188,334,548,731,840,953,1047,978,941,944,1008,1040,913,857,715,549,322
2023-07-10,180,92,64,89,138,675,1577,2162,1948,1431,1321,1390,1463,1512,1523,1828,2032,2003,1520,1016,753,626,513,287
2023-07-11,147,82,54,82,118,655,1648,2274,2095,1422,1273,1266,1404,1873,1847,1899,2101,2123,1637,1088,850,620,502,305
2023-07-12,112,67,63,78,123,644,1561,2322,2139,1467,1331,1387,1437,1589,1717,1921,2188,2365,1647,1091,856,785,640,323
2023-07-13,152,89,76,96,123,640,1537,1925,2062,1872,1428,1441,1485,1688,1852,2067,2332,2156,1757,1201,910,719,660,426
2023-07-14,197,91,84,86,120,579,1479,1954,1798,1407,1319,1377,1758,2305,2550,2447,2649,1953,1563,1124,899,830,735,577
2023-07-15,422,269,187,101,100,245,396,530,852,1187,1480,1609,1607,1460,1566,1417,1346,1399,1267,1079,871,710,696,560
2023-07-16,453,256,192,123,97,167,154,166,352,660,882,1333,1121,1102,1443,1318,1438,1532,1349,1040,852,682,559,262
2023-07-17,157,68,69,73,137,642,1592,2179,1880,1532,1290,1357,1662,1659,1729,1922,2228,2405,1691,1034,787,644,477,250
2023-07-18,145,69,65,84,141,660,1577,2257,2145,1576,1391,1415,1484,1605,1745,1935,2148,2264,1674,1123,827,706,540,308
2023-07-19,139,71,54,91,129,618,1594,2272,2073,1593,1353,1275,1509,1638,1790,1992,2095,2182,1654,1141,891,743,583,361
2023-07-20,154,83,60,84,129,671,1614,2124,1860,1657,1313,1292,1490,1872,1871,2148,2377,2307,1858,1284,932,776,697,399
2023-07-21,202,94,67,88,140,607,1458,1922,1751,1461,1429,1759,1772,2292,2183,2286,2595,2845,2800,2230,1192,837,784,679
2023-07-22,517,367,203,150,142,273,428,477,744,1087,1371,1637,1854,1469,1453,1542,1385,1534,1770,1430,953,746,667,675
2023-07-23,496,321,202,160,88,173,158,176,290,573,791,1112,1156,1363,1200,1504,1291,1175,1126,907,756,586,410,271
2023-07-24,150,97,61,71,124,619,1559,2062,1828,1387,1250,1245,1401,1511,1515,1952,2222,2161,1535,1047,731,577,490,265
2023-07-25,154,69,55,75,130,594,1563,2197,2200,1448,1320,1256,1502,1646,1588,2069,2286,2369,1842,1049,777,657,490,257
2023-07-26,125,73,58,68,120,604,1526,2153,2012,1445,1241,1405,1510,1640,1666,2010,2153,2236,1786,1130,824,738,567,333
2023-07-27,167,93,54,79,130,597,1504,2015,1923,1373,1292,1338,1377,1582,1764,2074,2108,2257,1681,1145,864,770,607,362
2023-07-28,185,83,64,91,119,573,1325,1699,1602,1326,1309,1397,1601,1678,1866,1956,2106,1785,1589,1170,978,766,658,506
2023-07-29,358,213,130,88,79,227,384,421,567,808,1028,1150,1283,1594,1673,1489,1472,1472,1397,1175,893,734,715,577
2023-07-30,405,273,181,144,101,141,151,135,276,481,739,997,1205,1229,1367,1094,1107,1108,1073,969,813,567,454,253
2023-07-31,147,74,65,63,110,567,1358,1963,1813,1326,1222,1232,1324,1333,1417,1731,2012,1988,1536,1013,703,528,443,257
2023-08-01,122,72,54,74,102,571,1396,1990,2074,1318,1169,1179,1277,1520,1576,1801,2071,2095,1621,1004,763,601,478,296
2023-08-02,137,76,61,60,106,578,1351,1917,1805,1272,1161,1138,1290,1392,1508,1743,1968,2017,1525,1040,776,596,536,293
2023-08-03,141,83,58,79,97,591,1417,1886,1806,1303,1151,1156,1263,1394,1479,1744,2119,2044,1568,1053,789,647,491,314
2023-08-04,167,70,68,70,110,523,1303,1658,1432,1228,1209,1222,1387,1504,1666,1736,1805,1684,1469,1071,850,647,564,482
2023-08-05,346,205,108,92,108,228,362,406,560,875,1175,1840,1313,1291,1182,1192,1266,1255,1279,1168,853,693,612,509
2023-08-06,400,298,170,118,80,122,149,146,275,392,647,1086,1152,1341,1181,1234,1014,1319,1113,920,681,529,404,252
2023-08-07,140,66,70,59,114,590,1333,1810,1712,1235,1184,1094,1282,1356,1477,1666,1882,1861,1412,959,677,520,436,272
2023-08-08,142,56,61,74,129,556,1493,1935,1785,1218,1330,1212,1341,1337,1492,1718,1988,2048,1556,944,752,582,402,242
2023-08-09,128,81,65,69,113,531,1358,1837,1828,1262,1184,1163,1263,1356,1432,1665,1935,2224,1444,1010,734,611,486,281
2023-08-10,132,68,61,75,99,552,1363,1815,1643,1316,1290,1244,1285,1384,1443,1798,2060,1985,1566,1109,819,673,529,296
2023-08-11,149,100,58,82,120,523,1213,1528,1419,1244,1153,1267,1453,1496,1881,1985,1672,1625,1368,1042,817,664,587,417
2023-08-12,302,194,120,82,82,205,324,416,511,752,1020,1086,1117,1140,1328,1093,1145,1095,1016,922,843,662,528,392
2023-08-13,313,187,184,120,83,151,125,131,186,433,681,811,936,1014,1065,1022,1023,1066,935,799,703,569,421,200
2023-08-14,117,86,49,72,115,557,1337,1711,1542,1179,1106,1181,1331,1256,1389,1621,1864,1674,1341,878,665,507,407,244
2023-08-15,128,69,57,76,117,541,1390,1812,1725,1294,1207,1218,1217,1326,1418,1581,1906,1838,1439,882,675,603,422,257
2023-08-16,125,69,62,56,109,561,1362,1817,1669,1295,1170,1236,1187,1359,1416,1596,1954,1787,1456,969,725,561,413,242
2023-08-17,138,70,56,71,123,581,1349,1747,1620,1214,1164,1178,1218,1323,1467,1707,1994,1924,1478,956,773,623,501,301
2023-08-18,181,83,60,80,121,511,1224,1538,1337,1172,1166,1230,1387,1462,1397,1513,1508,1621,1810,1172,807,699,525,415
2023-08-19,329,196,123,73,79,189,322,413,532,810,1056,1161,1361,1201,1190,1186,1101,1088,1117,994,748,620,460,461
2023-08-20,294,242,129,108,79,146,141,161,253,466,654,806,1041,1066,969,971,799,927,926,772,678,606,434,261
2023-08-21,160,95,71,66,119,555,1364,1743,1551,1176,1103,1089,1073,1173,1269,1435,1787,1641,1276,817,652,599,445,240
2023-08-22,151,93,67,75,128,607,1439,1846,1701,1286,1123,1126,1139,1209,1296,1494,1802,1732,1347,851,671,597,458,236
2023-08-23,142,84,58,77,131,576,1397,1837,1663,1249,1119,1055,1148,1299,1390,1583,2067,1968,1671,1095,751,694,550,337
2023-08-24,241,95,62,82,118,580,1342,1782,1591,1183,1204,1114,1139,1299,1345,1594,1834,1837,1306,991,714,646,475,348
2023-08-25,173,80,52,83,126,513,1125,1382,1337,1050,1041,1172,1408,1553,1613,1688,1581,1555,1279,1028,741,678,722,470
2023-08-26,310,194,134,119,95,205,344,359,582,793,935,1156,1444,1289,1339,1317,1170,1194,1121,1015,795,639,607,551
2023-08-27,363,238,162,102,104,140,140,132,223,448,682,805,942,1086,1019,1012,956,1017,1030,970,854,645,499,250
2023-08-28,123,82,65,71,129,556,1393,1857,1605,1239,1135,1134,1211,1263,1366,1588,1843,1741,1415,914,622,533,415,266
2023-08-29,145,71,73,82,119,557,1371,1916,1723,1225,1106,1140,1182,1269,1449,1624,2003,1969,1499,963,722,584,483,291
2023-08-30,145,84,52,86,128,572,1433,1902,1762,1450,1447,1228,1261,1375,1547,1721,2175,1995,1604,1037,827,630,551,328
2023-08-31,162,83,76,80,136,552,1420,1884,1723,1272,1226,1323,1294,1389,1579,1857,2549,2008,1625,1070,804,654,737,352
2023-09-01,148,90,79,88,139,532,1281,1724,1563,1247,1245,1265,1288,1462,1641,2013,2041,1600,1381,1064,901,726,615,467
2023-09-02,301,223,127,107,96,207,332,426,598,861,1386,1398,1892,1422,1580,1469,1251,1389,1490,1307,1305,1034,671,539
2023-09-03,367,263,188,139,100,147,152,164,256,501,759,1058,1342,1236,1263,1134,1420,1419,1502,1222,866,613,441,292
2023-09-04,129,71,52,69,113,605,1479,2039,2199,1730,1393,1174,1182,1294,1421,1744,2140,1878,1516,897,757,583,484,262
2023-09-05,147,88,48,78,113,576,1481,2019,1881,1407,1370,1287,1246,1465,1673,2214,2344,2198,1627,1137,803,681,562,299
2023-09-06,143,73,67,63,106,569,1456,2145,1868,1314,1421,1306,1298,1466,1607,1926,2091,2095,1786,1126,763,696,540,355
2023-09-07,159,85,67,75,120,593,1467,2137,2012,1617,1566,1373,1419,1489,1688,2089,1985,2162,1581,1110,839,647,691,568
2023-09-08,327,142,73,78,118,517,1356,1772,1752,1320,1454,1321,1667,1653,1617,1470,1592,2177,1434,1207,999,696,674,589
2023-09-09,378,255,145,96,100,212,360,469,645,1045,1656,1332,1660,1413,1423,1338,1392,1331,1276,1065,948,781,740,580
2023-09-10,420,284,197,136,96,154,161,185,328,631,849,1165,1392,1159,1159,1176,1073,1174,1219,1047,798,680,512,307
2023-09-11,140,109,73,78,142,612,1473,2400,2099,1439,1237,1228,1295,1539,1567,1876,2129,2037,1568,1004,753,591,420,241
2023-09-12,109,62,45,88,131,585,1552,2389,2071,1347,1370,1456,1499,1562,1684,1818,1744,1983,1724,1060,796,632,452,236
