cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
41,361.0,213.0,147.0,190.0,196.0,322.0,710.0,1539.0,1953.0,2662.0,3639.0,4179.0,3837.0,3622.0,3430.0,2868.0,2596.0,2487.0,2238.0,1889.0,1539.0,1257.0,930.0,795.0
42,680.0,432.0,293.0,235.0,257.0,370.0,716.0,1275.0,1534.0,2557.0,3574.0,3960.0,3444.0,3183.0,2881.0,2555.0,2413.0,2526.0,2397.0,2527.0,2148.0,1424.0,1095.0,859.0
43,589.0,447.0,281.0,231.0,241.0,374.0,625.0,942.0,1281.0,2219.0,3090.0,3814.0,4246.0,4446.0,4204.0,3601.0,3207.0,3065.0,2465.0,1824.0,1419.0,1168.0,928.0,736.0
44,647.75,416.0,276.5,252.75,293.0,402.75,1147.75,2944.5,3089.75,3724.0,4953.25,5445.75,5210.25,4888.5,3984.0,3044.75,2837.5,2649.75,2284.0,2038.75,1704.5,1264.75,985.0,705.75
45,556.0,370.0,314.0,249.0,291.0,513.0,1451.0,3788.0,3823.0,4534.0,5765.0,5269.0,5630.0,3941.0,5361.0,3292.0,2845.0,2525.0,2079.0,1566.0,1244.0,1055.0,797.0,639.0
46,717.0,499.0,399.0,333.0,416.0,674.0,1066.0,1726.0,2292.0,2990.0,4229.0,4780.0,4984.0,4583.0,3934.0,3598.0,3529.0,2919.0,2433.0,2066.0,1507.0,1163.0,1079.0,868.0
47,695.0,487.0,372.0,379.0,508.0,693.0,1247.0,1800.0,2847.0,4157.0,4977.0,4667.0,4144.0,3925.0,3237.0,3280.0,2815.0,2701.0,2460.0,1979.0,1722.0,1127.0,935.0,807.0
48,1043.0,685.0,505.0,487.0,671.0,937.0,1468.0,2139.0,3108.0,4003.0,4341.0,3014.0,4142.0,4177.0,3714.0,3478.0,3478.0,3060.0,2584.0,2295.0,1662.0,1186.0,963.0,820.0
49,659.6666666666666,452.3333333333333,338.6666666666667,267.3333333333333,305.0,442.3333333333333,809.0,1264.3333333333333,2338.0,3835.3333333333335,4887.0,4921.333333333333,4276.333333333333,3819.3333333333335,3303.0,2889.0,2759.0,2854.3333333333335,2626.3333333333335,2441.3333333333335,2039.0,1583.6666666666667,1224.3333333333333,1057.6666666666667
50,1661.0,781.0,337.0,315.0,401.0,465.0,722.0,1248.0,2153.0,3324.0,4248.0,4342.0,3630.0,4072.0,3358.0,2954.0,2926.0,2862.0,2721.0,2119.0,1904.0,1687.0,1428.0,956.0
51,772.0,451.0,267.0,318.0,402.0,649.0,943.0,1507.0,2709.0,4439.0,5238.0,5086.0,4223.0,3298.0,2898.0,2431.0,2231.0,2241.0,2095.0,1899.0,1686.0,1492.0,1132.0,925.0
